epoch,lr-AdamW,step,train_loss_step
,0.0001,9,
0,,9,2.842386245727539
,0.0001,19,
0,,19,1.8903543949127197
,0.0001,29,
0,,29,2.568134307861328
,0.0001,39,
0,,39,2.198941230773926
,0.0001,49,
0,,49,2.282453775405884
,0.0001,59,
0,,59,1.3771593570709229
,0.0001,69,
0,,69,2.157217502593994
,0.0001,79,
0,,79,2.9568371772766113
,0.0001,89,
0,,89,0.8385511040687561
,0.0001,99,
0,,99,1.4689948558807373
,0.0001,109,
0,,109,1.920082688331604
,0.0001,119,
0,,119,2.108837842941284
,0.0001,129,
0,,129,1.9873504638671875
,0.0001,139,
0,,139,1.215494155883789
,0.0001,149,
0,,149,2.7360658645629883
,0.0001,159,
0,,159,2.413104772567749
,0.0001,169,
0,,169,1.4735815525054932
,0.0001,179,
0,,179,0.36477285623550415
,0.0001,189,
0,,189,0.5084546208381653
,0.0001,199,
0,,199,4.158329963684082
,0.0001,209,
0,,209,1.8223196268081665
,0.0001,219,
0,,219,1.7223888635635376
,0.0001,229,
0,,229,1.930968165397644
,0.0001,239,
0,,239,1.8757314682006836
,0.0001,249,
0,,249,0.4419432580471039
,0.0001,259,
0,,259,2.3916311264038086
,0.0001,269,
0,,269,1.3011659383773804
,0.0001,279,
0,,279,4.794309139251709
,0.0001,289,
0,,289,0.7688373923301697
,0.0001,299,
0,,299,0.7934750318527222
,0.0001,309,
0,,309,0.9175933003425598
,0.0001,319,
0,,319,2.07900333404541
,0.0001,329,
0,,329,2.2119760513305664
,0.0001,339,
0,,339,0.8016011118888855
,0.0001,349,
0,,349,1.8139064311981201
,0.0001,359,
0,,359,1.3364225625991821
,0.0001,369,
0,,369,1.339690089225769
,0.0001,379,
0,,379,2.5759263038635254
,0.0001,389,
0,,389,1.7892873287200928
,0.0001,399,
0,,399,1.1117571592330933
,0.0001,409,
0,,409,1.7763229608535767
,0.0001,419,
0,,419,1.849195122718811
,0.0001,429,
0,,429,1.4873697757720947
,0.0001,439,
0,,439,2.297353982925415
,0.0001,449,
0,,449,1.9682602882385254
,0.0001,459,
0,,459,0.49625107645988464
,0.0001,469,
0,,469,1.3943405151367188
,0.0001,479,
0,,479,0.9062294363975525
,0.0001,489,
0,,489,1.2674857378005981
,0.0001,499,
0,,499,1.5357341766357422
,0.0001,509,
0,,509,2.274433135986328
,0.0001,519,
0,,519,2.543606996536255
,0.0001,529,
0,,529,1.1449365615844727
,0.0001,539,
0,,539,1.973588466644287
,0.0001,549,
0,,549,0.873227596282959
,0.0001,559,
0,,559,1.40215003490448
,0.0001,569,
0,,569,1.6631466150283813
,0.0001,579,
0,,579,0.7930758595466614
,0.0001,589,
0,,589,1.1999212503433228
,0.0001,599,
0,,599,1.342102289199829
,0.0001,609,
0,,609,1.4286372661590576
,0.0001,619,
0,,619,1.923507809638977
,0.0001,629,
0,,629,1.2603727579116821
,0.0001,639,
0,,639,1.099147081375122
,0.0001,649,
0,,649,1.0768762826919556
,0.0001,659,
0,,659,1.6920132637023926
,0.0001,669,
0,,669,0.8697766661643982
,0.0001,679,
0,,679,1.3289278745651245
,0.0001,689,
0,,689,0.4045701026916504
,0.0001,699,
0,,699,0.784349262714386
,0.0001,709,
0,,709,1.4987545013427734
,0.0001,719,
0,,719,1.2903705835342407
,0.0001,729,
0,,729,1.4202311038970947
,0.0001,739,
0,,739,1.029878854751587
,0.0001,749,
0,,749,2.1265506744384766
,0.0001,759,
0,,759,1.2854093313217163
,0.0001,769,
0,,769,1.3939194679260254
,0.0001,779,
0,,779,1.2135967016220093
,0.0001,789,
0,,789,2.501857042312622
,0.0001,799,
0,,799,1.4152565002441406
,0.0001,809,
0,,809,0.9749414920806885
,0.0001,819,
0,,819,1.380895972251892
,0.0001,829,
0,,829,1.2708780765533447
,0.0001,839,
0,,839,1.3821251392364502
,0.0001,849,
0,,849,0.8349013328552246
,0.0001,859,
0,,859,0.9864413142204285
,0.0001,869,
0,,869,1.7292709350585938
,0.0001,879,
0,,879,1.878173828125
,0.0001,889,
0,,889,1.837920904159546
,0.0001,899,
0,,899,0.9073871970176697
,0.0001,909,
0,,909,0.8210253119468689
,0.0001,919,
0,,919,0.945964515209198
,0.0001,929,
0,,929,0.6804301738739014
,0.0001,939,
0,,939,0.8277450203895569
,0.0001,949,
0,,949,1.3969138860702515
,0.0001,959,
0,,959,1.0558993816375732
,0.0001,969,
0,,969,0.632662832736969
,0.0001,979,
0,,979,1.2034183740615845
,0.0001,989,
0,,989,1.159184455871582
,0.0001,999,
0,,999,0.945807695388794
,0.0001,1009,
0,,1009,1.478609323501587
,0.0001,1019,
0,,1019,1.1401811838150024
,0.0001,1029,
0,,1029,1.0780174732208252
,0.0001,1039,
0,,1039,2.4758310317993164
,0.0001,1049,
0,,1049,1.4675476551055908
,0.0001,1059,
0,,1059,1.7686387300491333
,0.0001,1069,
0,,1069,2.107037305831909
,0.0001,1079,
0,,1079,0.7502713799476624
,0.0001,1089,
0,,1089,1.0580040216445923
,0.0001,1099,
0,,1099,1.3253300189971924
,0.0001,1109,
0,,1109,1.6460185050964355
,0.0001,1119,
0,,1119,1.0360605716705322
,0.0001,1129,
0,,1129,1.099927544593811
,0.0001,1139,
0,,1139,1.316449522972107
,0.0001,1149,
0,,1149,0.9898107051849365
,0.0001,1159,
0,,1159,1.9296965599060059
,0.0001,1169,
0,,1169,1.2208681106567383
,0.0001,1179,
0,,1179,0.9586784839630127
,0.0001,1189,
0,,1189,1.1506757736206055
,0.0001,1199,
0,,1199,1.3864043951034546
,0.0001,1209,
0,,1209,1.0051990747451782
,0.0001,1219,
0,,1219,1.184340476989746
,0.0001,1229,
0,,1229,0.7701899409294128
,0.0001,1239,
0,,1239,0.6292382478713989
,0.0001,1249,
0,,1249,1.2860620021820068
,0.0001,1259,
0,,1259,1.5266989469528198
,0.0001,1269,
0,,1269,1.1464130878448486
,0.0001,1279,
0,,1279,1.3625236749649048
,0.0001,1289,
0,,1289,1.1109662055969238
,0.0001,1299,
0,,1299,1.1628568172454834
,0.0001,1309,
0,,1309,1.5415356159210205
,0.0001,1319,
0,,1319,1.6077890396118164
,0.0001,1329,
0,,1329,1.1850836277008057
,0.0001,1339,
0,,1339,1.5952197313308716
,0.0001,1349,
0,,1349,0.97395259141922
,0.0001,1359,
0,,1359,1.0328372716903687
,0.0001,1369,
0,,1369,1.7818636894226074
,0.0001,1379,
0,,1379,1.1752393245697021
,0.0001,1389,
0,,1389,1.2754138708114624
,0.0001,1399,
0,,1399,1.0641742944717407
,0.0001,1409,
0,,1409,0.7031176686286926
,0.0001,1419,
0,,1419,1.0163358449935913
,0.0001,1429,
0,,1429,0.7100979685783386
,0.0001,1439,
0,,1439,1.3262938261032104
,0.0001,1449,
0,,1449,1.413609504699707
,0.0001,1459,
0,,1459,1.4050805568695068
,0.0001,1469,
0,,1469,1.443367838859558
,0.0001,1479,
0,,1479,0.497124582529068
,0.0001,1489,
0,,1489,1.2326594591140747
,0.0001,1499,
0,,1499,1.0863621234893799
,0.0001,1509,
0,,1509,1.3464205265045166
,0.0001,1519,
0,,1519,0.8033335208892822
,0.0001,1529,
0,,1529,0.6001060605049133
,0.0001,1539,
0,,1539,2.5432848930358887
,0.0001,1549,
0,,1549,1.3400390148162842
,0.0001,1559,
0,,1559,1.8731049299240112
,0.0001,1569,
0,,1569,1.3094568252563477
,0.0001,1579,
0,,1579,1.071173906326294
,0.0001,1589,
0,,1589,1.276431918144226
,0.0001,1599,
0,,1599,0.8718109130859375
,0.0001,1609,
0,,1609,1.0170806646347046
,0.0001,1619,
0,,1619,1.3152148723602295
